subgenome,condition,panel_type,component,explained_variance_ratio
sgC,all_eligible,arabica_only,PC5,0.03516137861475918
sgE,filtered_reservoir_12000,full_panel,PC1,0.5838222201739786
sgE,filtered_reservoir_12000,full_panel,PC2,0.09496133639151517
sgE,filtered_reservoir_12000,full_panel,PC3,0.03411676854970629
sgE,filtered_reservoir_12000,full_panel,PC4,0.02775741116500933
sgE,filtered_reservoir_12000,full_panel,PC5,0.02345723262223547
sgE,filtered_reservoir_12000,arabica_only,PC1,0.2428578586232379
sgE,filtered_reservoir_12000,arabica_only,PC2,0.09870616111942128
sgE,filtered_reservoir_12000,arabica_only,PC3,0.05832112659122988
sgE,filtered_reservoir_12000,arabica_only,PC4,0.05542793483230973
sgE,filtered_reservoir_12000,arabica_only,PC5,0.03053656046977845
sgE,priority_seed_20250416_6000,full_panel,PC1,0.5819465965373413
sgE,priority_seed_20250416_6000,full_panel,PC2,0.09138251854809792
sgE,priority_seed_20250416_6000,full_panel,PC3,0.03328382547372506
sgE,priority_seed_20250416_6000,full_panel,PC4,0.02723988976042949
sgE,priority_seed_20250416_6000,full_panel,PC5,0.02351678209860707
sgE,priority_seed_20250416_6000,arabica_only,PC1,0.2384191430678563
sgE,priority_seed_20250416_6000,arabica_only,PC2,0.09503969173322961
sgE,priority_seed_20250416_6000,arabica_only,PC3,0.06428245416018452
sgE,priority_seed_20250416_6000,arabica_only,PC4,0.05981613133590087
sgE,priority_seed_20250416_6000,arabica_only,PC5,0.03135426802898975
sgE,priority_seed_20250416_12000,full_panel,PC1,0.5850936155081711
sgE,priority_seed_20250416_12000,full_panel,PC2,0.09332507164198262
sgE,priority_seed_20250416_12000,full_panel,PC3,0.03284093757853879
sgE,priority_seed_20250416_12000,full_panel,PC4,0.02756837390612
sgE,priority_seed_20250416_12000,full_panel,PC5,0.0229145549330303
sgE,priority_seed_20250416_12000,arabica_only,PC1,0.2489144685720046
sgE,priority_seed_20250416_12000,arabica_only,PC2,0.09692485898062313
sgE,priority_seed_20250416_12000,arabica_only,PC3,0.05889230734958791
sgE,priority_seed_20250416_12000,arabica_only,PC4,0.05669503523781318
sgE,priority_seed_20250416_12000,arabica_only,PC5,0.03180314044845602
sgE,priority_seed_20250416_24000,full_panel,PC1,0.5867683516229906
sgE,priority_seed_20250416_24000,full_panel,PC2,0.0935105318462808
sgE,priority_seed_20250416_24000,full_panel,PC3,0.03292866995426194
sgE,priority_seed_20250416_24000,full_panel,PC4,0.02787354084280329
sgE,priority_seed_20250416_24000,full_panel,PC5,0.02269423791547646
sgE,priority_seed_20250416_24000,arabica_only,PC1,0.2470348048466417
sgE,priority_seed_20250416_24000,arabica_only,PC2,0.097392718815668
sgE,priority_seed_20250416_24000,arabica_only,PC3,0.05860235793248778
sgE,priority_seed_20250416_24000,arabica_only,PC4,0.05614578786670957
sgE,priority_seed_20250416_24000,arabica_only,PC5,0.03021548870694018
sgE,priority_seed_20250416_48000,full_panel,PC1,0.5863685095197325
sgE,priority_seed_20250416_48000,full_panel,PC2,0.09272658735701227
sgE,priority_seed_20250416_48000,full_panel,PC3,0.03363094879360101
sgE,priority_seed_20250416_48000,full_panel,PC4,0.02793608219520812
sgE,priority_seed_20250416_48000,full_panel,PC5,0.02278059215572088
sgE,priority_seed_20250416_48000,arabica_only,PC1,0.2478244025134864
sgE,priority_seed_20250416_48000,arabica_only,PC2,0.09878201690357422
sgE,priority_seed_20250416_48000,arabica_only,PC3,0.05838777425938869
sgE,priority_seed_20250416_48000,arabica_only,PC4,0.0551815407770039
sgE,priority_seed_20250416_48000,arabica_only,PC5,0.03113774607272409
sgE,priority_seed_20250417_6000,full_panel,PC1,0.5766209232820173
sgE,priority_seed_20250417_6000,full_panel,PC2,0.09228005174907793
sgE,priority_seed_20250417_6000,full_panel,PC3,0.03461322112553976
sgE,priority_seed_20250417_6000,full_panel,PC4,0.0284103815387296
sgE,priority_seed_20250417_6000,full_panel,PC5,0.02331013040841655
sgE,priority_seed_20250417_6000,arabica_only,PC1,0.2349412039490932
sgE,priority_seed_20250417_6000,arabica_only,PC2,0.1020317425792703
sgE,priority_seed_20250417_6000,arabica_only,PC3,0.059761988563268
sgE,priority_seed_20250417_6000,arabica_only,PC4,0.05476492341292596
sgE,priority_seed_20250417_6000,arabica_only,PC5,0.03457852664683373
sgE,priority_seed_20250417_12000,full_panel,PC1,0.5781256620473726
sgE,priority_seed_20250417_12000,full_panel,PC2,0.09270119966961156
sgE,priority_seed_20250417_12000,full_panel,PC3,0.03415216998969381
sgE,priority_seed_20250417_12000,full_panel,PC4,0.02782359426299636
sgE,priority_seed_20250417_12000,full_panel,PC5,0.02341852700400716
sgE,priority_seed_20250417_12000,arabica_only,PC1,0.2340611442944413
sgE,priority_seed_20250417_12000,arabica_only,PC2,0.1004892320169978
sgE,priority_seed_20250417_12000,arabica_only,PC3,0.06088156116974981
sgE,priority_seed_20250417_12000,arabica_only,PC4,0.05412297708612464
sgE,priority_seed_20250417_12000,arabica_only,PC5,0.03286109714022522
sgE,priority_seed_20250417_24000,full_panel,PC1,0.5799634357021531
sgE,priority_seed_20250417_24000,full_panel,PC2,0.09427985187143585
sgE,priority_seed_20250417_24000,full_panel,PC3,0.03396190588856933
sgE,priority_seed_20250417_24000,full_panel,PC4,0.02800973433517211
sgE,priority_seed_20250417_24000,full_panel,PC5,0.023251401394634
sgE,priority_seed_20250417_24000,arabica_only,PC1,0.2372573757281035
sgE,priority_seed_20250417_24000,arabica_only,PC2,0.1015580357177944
sgE,priority_seed_20250417_24000,arabica_only,PC3,0.05984263398228978
sgE,priority_seed_20250417_24000,arabica_only,PC4,0.05560526161518633
sgE,priority_seed_20250417_24000,arabica_only,PC5,0.03189188995631451
sgE,priority_seed_20250417_48000,full_panel,PC1,0.5819751399899559
sgE,priority_seed_20250417_48000,full_panel,PC2,0.0937746218818762
sgE,priority_seed_20250417_48000,full_panel,PC3,0.03375496828533789
sgE,priority_seed_20250417_48000,full_panel,PC4,0.02796382373671971
sgE,priority_seed_20250417_48000,full_panel,PC5,0.02310484598222544
sgE,priority_seed_20250417_48000,arabica_only,PC1,0.2399002521388871
sgE,priority_seed_20250417_48000,arabica_only,PC2,0.1000147689339572
sgE,priority_seed_20250417_48000,arabica_only,PC3,0.05940542451099411
sgE,priority_seed_20250417_48000,arabica_only,PC4,0.0555724688096732
sgE,priority_seed_20250417_48000,arabica_only,PC5,0.03192459016048404
sgE,priority_seed_20250418_6000,full_panel,PC1,0.5814982005245056
sgE,priority_seed_20250418_6000,full_panel,PC2,0.09560478071738873
sgE,priority_seed_20250418_6000,full_panel,PC3,0.03253839770787188
sgE,priority_seed_20250418_6000,full_panel,PC4,0.02817171218543878
sgE,priority_seed_20250418_6000,full_panel,PC5,0.0225124278377398
sgE,priority_seed_20250418_6000,arabica_only,PC1,0.2339627197657237
sgE,priority_seed_20250418_6000,arabica_only,PC2,0.09333124349753298
sgE,priority_seed_20250418_6000,arabica_only,PC3,0.05956420725657914
sgE,priority_seed_20250418_6000,arabica_only,PC4,0.05657182608154171
sgE,priority_seed_20250418_6000,arabica_only,PC5,0.03052965400935579
sgE,priority_seed_20250418_12000,full_panel,PC1,0.5822632771984693
sgE,priority_seed_20250418_12000,full_panel,PC2,0.09289963399683018
sgE,priority_seed_20250418_12000,full_panel,PC3,0.03337225387050283
sgE,priority_seed_20250418_12000,full_panel,PC4,0.02820151953283175
sgE,priority_seed_20250418_12000,full_panel,PC5,0.02265076005530602
sgE,priority_seed_20250418_12000,arabica_only,PC1,0.2366600675814946
sgE,priority_seed_20250418_12000,arabica_only,PC2,0.0966156907295355
sgE,priority_seed_20250418_12000,arabica_only,PC3,0.06009025612161518
sgE,priority_seed_20250418_12000,arabica_only,PC4,0.05650445155344725
sgE,priority_seed_20250418_12000,arabica_only,PC5,0.03040425524168306
sgE,priority_seed_20250418_24000,full_panel,PC1,0.5841866851698344
sgE,priority_seed_20250418_24000,full_panel,PC2,0.09260157114309107
sgE,priority_seed_20250418_24000,full_panel,PC3,0.03373600990722176
sgE,priority_seed_20250418_24000,full_panel,PC4,0.02772835420895449
sgE,priority_seed_20250418_24000,full_panel,PC5,0.02271348284969112
sgE,priority_seed_20250418_24000,arabica_only,PC1,0.2391075338704723
sgE,priority_seed_20250418_24000,arabica_only,PC2,0.09796258452261038
sgE,priority_seed_20250418_24000,arabica_only,PC3,0.05935358986378186
sgE,priority_seed_20250418_24000,arabica_only,PC4,0.05488128892563236
sgE,priority_seed_20250418_24000,arabica_only,PC5,0.03079764512513952
sgE,priority_seed_20250418_48000,full_panel,PC1,0.5832575545723647
sgE,priority_seed_20250418_48000,full_panel,PC2,0.09268455212538697
sgE,priority_seed_20250418_48000,full_panel,PC3,0.03348164136682946
sgE,priority_seed_20250418_48000,full_panel,PC4,0.02738040194290629
sgE,priority_seed_20250418_48000,full_panel,PC5,0.0227333637480054
sgE,priority_seed_20250418_48000,arabica_only,PC1,0.2373562253598173
sgE,priority_seed_20250418_48000,arabica_only,PC2,0.09794912543151131
sgE,priority_seed_20250418_48000,arabica_only,PC3,0.05920819924441806
sgE,priority_seed_20250418_48000,arabica_only,PC4,0.05444025708684773
sgE,priority_seed_20250418_48000,arabica_only,PC5,0.03065422914820288
sgE,priority_seed_20250419_6000,full_panel,PC1,0.5876758313393101
sgE,priority_seed_20250419_6000,full_panel,PC2,0.09181127909864711
sgE,priority_seed_20250419_6000,full_panel,PC3,0.03311067273822301
sgE,priority_seed_20250419_6000,full_panel,PC4,0.0285959369523185
sgE,priority_seed_20250419_6000,full_panel,PC5,0.02261814691275254
sgE,priority_seed_20250419_6000,arabica_only,PC1,0.2486392217168131
sgE,priority_seed_20250419_6000,arabica_only,PC2,0.09709636612842186
sgE,priority_seed_20250419_6000,arabica_only,PC3,0.05700790501156053
sgE,priority_seed_20250419_6000,arabica_only,PC4,0.05334158156054705
sgE,priority_seed_20250419_6000,arabica_only,PC5,0.03198532237500378
sgE,priority_seed_20250419_12000,full_panel,PC1,0.5861155672150373
sgE,priority_seed_20250419_12000,full_panel,PC2,0.09099409417681346
sgE,priority_seed_20250419_12000,full_panel,PC3,0.03378779371049932
sgE,priority_seed_20250419_12000,full_panel,PC4,0.02848481273224635
sgE,priority_seed_20250419_12000,full_panel,PC5,0.02290274790308633
sgE,priority_seed_20250419_12000,arabica_only,PC1,0.2461742482877553
sgE,priority_seed_20250419_12000,arabica_only,PC2,0.09753281954501672
sgE,priority_seed_20250419_12000,arabica_only,PC3,0.05738756964510131
sgE,priority_seed_20250419_12000,arabica_only,PC4,0.05280050034173882
sgE,priority_seed_20250419_12000,arabica_only,PC5,0.03156910165869413
sgE,priority_seed_20250419_24000,full_panel,PC1,0.5882779689527974
sgE,priority_seed_20250419_24000,full_panel,PC2,0.09178368730288625
sgE,priority_seed_20250419_24000,full_panel,PC3,0.03358520858416529
sgE,priority_seed_20250419_24000,full_panel,PC4,0.02866651253800935
sgE,priority_seed_20250419_24000,full_panel,PC5,0.02251311510247891
sgE,priority_seed_20250419_24000,arabica_only,PC1,0.2479080818145133
sgE,priority_seed_20250419_24000,arabica_only,PC2,0.0988446758580455
sgE,priority_seed_20250419_24000,arabica_only,PC3,0.05788699920709291
sgE,priority_seed_20250419_24000,arabica_only,PC4,0.05480958989585583
sgE,priority_seed_20250419_24000,arabica_only,PC5,0.03124944930001818
sgE,priority_seed_20250419_48000,full_panel,PC1,0.5838275703694249
sgE,priority_seed_20250419_48000,full_panel,PC2,0.09341281275623763
sgE,priority_seed_20250419_48000,full_panel,PC3,0.0342017834946992
sgE,priority_seed_20250419_48000,full_panel,PC4,0.02825475036920005
sgE,priority_seed_20250419_48000,full_panel,PC5,0.02271072809947697
sgE,priority_seed_20250419_48000,arabica_only,PC1,0.2444973761780086
sgE,priority_seed_20250419_48000,arabica_only,PC2,0.09924865327908956
sgE,priority_seed_20250419_48000,arabica_only,PC3,0.05795145512721434
sgE,priority_seed_20250419_48000,arabica_only,PC4,0.05468302668581136
sgE,priority_seed_20250419_48000,arabica_only,PC5,0.03124257511024203
sgE,priority_seed_20250420_6000,full_panel,PC1,0.5867311259403633
sgE,priority_seed_20250420_6000,full_panel,PC2,0.09340427263116248
sgE,priority_seed_20250420_6000,full_panel,PC3,0.03312443441308695
sgE,priority_seed_20250420_6000,full_panel,PC4,0.02929867150667741
sgE,priority_seed_20250420_6000,full_panel,PC5,0.02326390327647066
sgE,priority_seed_20250420_6000,arabica_only,PC1,0.2525496501230296
sgE,priority_seed_20250420_6000,arabica_only,PC2,0.0977027070403531
sgE,priority_seed_20250420_6000,arabica_only,PC3,0.05634413671138432
sgE,priority_seed_20250420_6000,arabica_only,PC4,0.0540270638976266
sgE,priority_seed_20250420_6000,arabica_only,PC5,0.03114565331235701
sgE,priority_seed_20250420_12000,full_panel,PC1,0.5882556280211662
sgE,priority_seed_20250420_12000,full_panel,PC2,0.09485772567008441
sgE,priority_seed_20250420_12000,full_panel,PC3,0.03291113735862059
sgE,priority_seed_20250420_12000,full_panel,PC4,0.02906140943813684
sgE,priority_seed_20250420_12000,full_panel,PC5,0.0223949138817324
sgE,priority_seed_20250420_12000,arabica_only,PC1,0.2490120396016612
sgE,priority_seed_20250420_12000,arabica_only,PC2,0.09919684189573631
sgE,priority_seed_20250420_12000,arabica_only,PC3,0.05920565642314404
sgE,priority_seed_20250420_12000,arabica_only,PC4,0.05540091988465518
sgE,priority_seed_20250420_12000,arabica_only,PC5,0.03124082010992699
sgE,priority_seed_20250420_24000,full_panel,PC1,0.5838523527441248
sgE,priority_seed_20250420_24000,full_panel,PC2,0.09448120460694864
sgE,priority_seed_20250420_24000,full_panel,PC3,0.03360360250906794
sgE,priority_seed_20250420_24000,full_panel,PC4,0.02864769028621597
sgE,priority_seed_20250420_24000,full_panel,PC5,0.02266332254099982
sgE,priority_seed_20250420_24000,arabica_only,PC1,0.2466986418331131
sgE,priority_seed_20250420_24000,arabica_only,PC2,0.09939131157414874
sgE,priority_seed_20250420_24000,arabica_only,PC3,0.05843266217468738
sgE,priority_seed_20250420_24000,arabica_only,PC4,0.05545255247795376
sgE,priority_seed_20250420_24000,arabica_only,PC5,0.03140496700314876
sgE,priority_seed_20250420_48000,full_panel,PC1,0.5839419028109588
sgE,priority_seed_20250420_48000,full_panel,PC2,0.09473475432996044
sgE,priority_seed_20250420_48000,full_panel,PC3,0.03365256467198334
sgE,priority_seed_20250420_48000,full_panel,PC4,0.02856053962855938
sgE,priority_seed_20250420_48000,full_panel,PC5,0.02273216707347675
sgE,priority_seed_20250420_48000,arabica_only,PC1,0.2454993100865229
sgE,priority_seed_20250420_48000,arabica_only,PC2,0.09947106427086103
sgE,priority_seed_20250420_48000,arabica_only,PC3,0.05858596635302253
sgE,priority_seed_20250420_48000,arabica_only,PC4,0.05539320881499182
sgE,priority_seed_20250420_48000,arabica_only,PC5,0.03153598025526518
sgE,all_eligible,full_panel,PC1,0.5830893000244203
sgE,all_eligible,full_panel,PC2,0.09325537553796584
sgE,all_eligible,full_panel,PC3,0.0338317685143262
sgE,all_eligible,full_panel,PC4,0.0278543531694683
sgE,all_eligible,full_panel,PC5,0.02288699723693677
sgE,all_eligible,arabica_only,PC1,0.2442173477205629
sgE,all_eligible,arabica_only,PC2,0.09896235556692652
sgE,all_eligible,arabica_only,PC3,0.05832411039420401
sgE,all_eligible,arabica_only,PC4,0.05503591314982954
sgE,all_eligible,arabica_only,PC5,0.03100370157041633
